Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Number of Dead,Country of Origin,Region of Origin,UNSD Geographical Grouping,Incident year,Number of Missing
2019.MMP00362,2019.MMP00362,Incident,Northern Africa,23/3/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00363,2019.MMP00363,Incident,Northern Africa,23/3/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00364,2019.MMP00364,Incident,Northern Africa,23/3/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00365,2019.MMP00365,Incident,Northern Africa,23/3/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00366,2019.MMP00366,Incident,Western Africa,24/3/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00367,2019.MMP00367,Incident,Western Africa,24/3/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00368,2019.MMP00368,Incident,Middle Africa,24/3/2019,1,Unknown,Sub-Saharan Africa (P),Middle Africa,2019,0
2019.MMP00369,2019.MMP00369,Incident,North America,24/3/2019,2,Ecuador,South America,Northern America,2019,0
2019.MMP00370,2019.MMP00370,Incident,Europe,24/3/2019,1,Türkiye,Western Asia,Southern Europe,2019,0
2019.MMP00371,2019.MMP00371,Incident,Western Asia,24/3/2019,1,Unknown,Western / Southern Asia (P),Western Asia,2019,0
2019.MMP00374,2019.MMP00374,Incident,North America,26/3/2019,1,Guatemala,Central America,Northern America,2019,0
2019.MMP00375,2019.MMP00375,Incident,Central America,25/3/2019,1,Honduras,Central America,Central America,2019,0
2019.MMP00377,2019.MMP00377,Incident,Mediterranean,26/3/2019,4,Afghanistan,Southern Asia,Uncategorized,2019,0
2019.MMP00378,2019.MMP00378,Incident,Mediterranean,26/3/2019,1,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00379,2019.MMP00379,Incident,Northern Africa,26/3/2019,1,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00380,2019.MMP00380,Incident,Northern Africa,26/3/2019,2,Unknown,Unknown,Northern Africa,2019,0
2019.MMP00381,2019.MMP00381,Incident,Mediterranean,26/3/2019,1,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00382,2019.MMP00382,Incident,North America,27/3/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00383,2019.MMP00383,Incident,Western Africa,27/3/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00384,2019.MMP00384,Incident,Western Africa,27/3/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00385,2019.MMP00385,Incident,Eastern Africa,27/3/2019,1,Unknown,Eastern Africa (P),Eastern Africa,2019,0
2019.MMP00388,"2019.MMP00388383, 2019.MMP00388384",Split Incident,Mediterranean,28/3/2019,0,"Unknown, Yemen","Western / Southern Asia (P), Western Asia",Uncategorized,2019,2
2019.MMP00390,2019.MMP00390,Incident,Europe,29/3/2019,1,Unknown,Unknown,Southern Europe,2019,0
2019.MMP00391,2019.MMP00391,Incident,North America,30/3/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00392,2019.MMP00392,Incident,Europe,31/3/2019,1,Bangladesh,Southern Asia,Southern Europe,2019,0
2019.MMP00393,2019.MMP00393,Incident,Northern Africa,31/3/2019,1,Unknown,Eastern Africa (P),Northern Africa,2019,0
2019.MMP00394,2019.MMP00394,Incident,Northern Africa,31/3/2019,1,Unknown,Eastern Africa (P),Northern Africa,2019,0
2019.MMP00395,2019.MMP00395,Incident,Europe,31/3/2019,1,Algeria,Northern Africa,Southern Europe,2019,0
2019.MMP00396,2019.MMP00396,Incident,Caribbean,31/3/2019,15,Haiti,Caribbean,Caribbean,2019,4
2019.MMP00397,2019.MMP00397,Incident,Mediterranean,1/4/2019,1,Unknown,Sub-Saharan Africa (P),Uncategorized,2019,0
2019.MMP00399,2019.MMP00399,Incident,Mediterranean,1/4/2019,0,Unknown,Unknown,Uncategorized,2019,50
2019.MMP00401,2019.MMP00401,Incident,Mediterranean,2/4/2019,1,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00402,2019.MMP00402,Incident,North America,2/4/2019,1,El Salvador,Central America,Northern America,2019,0
2019.MMP00404,2019.MMP00404,Incident,Central America,3/4/2019,1,El Salvador,Central America,Central America,2019,0
2019.MMP00405,2019.MMP00405,Incident,Southern Asia,3/4/2019,2,Afghanistan,Southern Asia,Southern Asia,2019,0
2019.MMP00406,2019.MMP00406,Incident,North America,5/4/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00407,2019.MMP00407,Incident,Central America,5/4/2019,1,Unknown,Latin America / Caribbean (P),Central America,2019,0
2019.MMP00408,2019.MMP00408,Incident,Western Asia,5/4/2019,1,Syrian Arab Republic,Western Asia,Western Asia,2019,0
2019.MMP00409,2019.MMP00409,Incident,Eastern Africa,5/4/2019,1,Unknown,Eastern Africa (P),Eastern Africa,2019,0
2019.MMP00410,2019.MMP00410,Incident,North America,6/4/2019,1,Mexico,Central America,Northern America,2019,0
2019.MMP00411,2019.MMP00411,Incident,North America,6/4/2019,2,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00412,2019.MMP00412,Incident,Mediterranean,6/4/2019,1,Unknown,Western / Southern Asia (P),Uncategorized,2019,0
2019.MMP00413,2019.MMP00413,Incident,Western Africa,7/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00414,2019.MMP00414,Incident,Western Africa,7/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00415,2019.MMP00415,Incident,Mediterranean,7/4/2019,2,Unknown,Western / Southern Asia (P),Uncategorized,2019,0
2019.MMP00416,2019.MMP00416,Incident,Central America,7/4/2019,1,Guatemala,Central America,Central America,2019,0
2019.MMP00417,2019.MMP00417,Incident,Mediterranean,7/4/2019,1,Syrian Arab Republic,Western Asia,Uncategorized,2019,0
2019.MMP00418,2019.MMP00418,Incident,Western Africa,7/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00419,2019.MMP00419,Incident,Western Africa,7/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00420,2019.MMP00420,Incident,Eastern Africa,7/4/2019,1,Ethiopia,Eastern Africa,Eastern Africa,2019,0
2019.MMP00421,2019.MMP00421,Incident,Eastern Africa,7/4/2019,1,Unknown,Eastern Africa (P),Eastern Africa,2019,0
2019.MMP00422,2019.MMP00422,Incident,North America,8/4/2019,1,Mexico,Central America,Northern America,2019,0
2019.MMP00423,2019.MMP00423,Incident,Western Africa,9/4/2019,11,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00424,2019.MMP00424,Incident,Western Africa,9/4/2019,11,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00425,2019.MMP00425,Incident,Western Africa,10/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00426,2019.MMP00426,Incident,Western Africa,10/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00427,2019.MMP00427,Incident,Western Africa,10/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00428,2019.MMP00428,Incident,Mediterranean,10/4/2019,0,Unknown,Northern Africa,Uncategorized,2019,1
2019.MMP00429,2019.MMP00429,Incident,North America,10/4/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00430,2019.MMP00430,Incident,North America,10/4/2019,1,Honduras,Central America,Northern America,2019,0
2019.MMP00431,2019.MMP00431,Incident,North America,10/4/2019,1,Unknown,Latin America / Caribbean (P),Northern America,2019,0
2019.MMP00432,2019.MMP00432,Incident,Western Africa,10/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00433,2019.MMP00433,Incident,Central America,11/4/2019,1,Mexico,Central America,Central America,2019,0
2019.MMP00434,2019.MMP00434,Incident,North America,11/4/2019,1,El Salvador,Central America,Northern America,2019,0
2019.MMP00435,2019.MMP00435,Incident,Western Africa,12/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00436,2019.MMP00436,Incident,Western Africa,12/4/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00437,2019.MMP00437,Incident,Western Africa,12/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00438,2019.MMP00438,Incident,North America,12/4/2019,1,Guatemala,Central America,Northern America,2019,0
2019.MMP00439,2019.MMP00439,Incident,Western Africa,12/4/2019,3,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00440,2019.MMP00440,Incident,Western Africa,12/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00441,2019.MMP00441,Incident,Western Asia,12/4/2019,6,Afghanistan,Southern Asia,Western Asia,2019,0
2019.MMP00442,2019.MMP00442,Incident,Central America,13/4/2019,2,Ecuador,South America,Central America,2019,11
2019.MMP00443,2019.MMP00443,Incident,Mediterranean,14/4/2019,1,Unknown,Western / Southern Asia (P),Uncategorized,2019,0
2019.MMP00444,2019.MMP00444,Incident,Mediterranean,14/4/2019,1,Unknown,Unknown,Uncategorized,2019,0
2019.MMP00445,2019.MMP00445,Incident,Western Africa,14/4/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00446,2019.MMP00446,Incident,Western Africa,14/4/2019,6,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00447,2019.MMP00447,Incident,Western Africa,14/4/2019,2,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00448,2019.MMP00448,Incident,Western Africa,14/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00449,2019.MMP00449,Incident,Western Africa,14/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
2019.MMP00450,2019.MMP00450,Incident,Western Africa,14/4/2019,1,Unknown,Sub-Saharan Africa (P),Western Africa,2019,0
